Latitude,Longitude
32.9928,35.691124
32.993,35.6908
32.992722,35.691214
32.992601,35.69135
32.99233,35.691663
32.99225,35.69174
32.992129,35.6919
32.991912,35.692164
32.991811,35.6923
32.991755,35.692388
32.991427,35.692896
32.9914,35.692943
32.991156,35.693366
32.991148,35.693364
32.991139,35.693363
32.991131,35.693364
32.991122,35.693367
32.991116,35.693371
32.990903,35.693265
32.9908,35.6932
32.990615,35.693167
32.990529,35.693138
32.990403,35.693095
32.990156,35.693052
32.989888,35.693056
32.989646,35.693077
32.989465,35.693107
32.989274,35.693157
32.989009,35.693211
32.9889,35.6932
32.988862,35.693237
32.988661,35.693278
32.988396,35.693303
32.987852,35.693295
32.987706,35.693279
32.987711,35.693263
32.987714,35.693244
32.987716,35.693226
32.987715,35.693207
32.987712,35.693188
32.987708,35.69317
32.987701,35.693153
32.987694,35.693138
32.988073,35.69213
32.9883,35.6916
32.988326,35.691457
32.988386,35.691292
32.988912,35.689927
32.989049,35.68957
32.989349,35.688813
32.989374,35.688812
32.989409,35.688795
32.989422,35.688782
32.989438,35.688766
32.989455,35.688737
32.989464,35.688704
32.989465,35.688651
32.989464,35.688646
32.989453,35.688609
32.989431,35.688574
32.989421,35.688566
32.989504,35.688174
32.9898,35.6871
32.989767,35.686933
32.98991,35.686281
32.990015,35.685801
32.990033,35.685804
32.990049,35.685804
32.990065,35.685801
32.990081,35.685797
32.990089,35.685794
32.990104,35.685785
32.990118,35.685775
32.990131,35.685763
32.990145,35.685744
32.990517,35.685824
32.990782,35.685867
32.991013,35.685907
32.991477,35.685978
32.9917,35.6861
32.992072,35.686086
32.993077,35.686247
32.993241,35.686284
32.9934,35.6864
32.99375,35.68638
32.994328,35.686472
32.994407,35.686492
32.994758,35.68664
32.995037,35.686809
32.995135,35.686872
32.995382,35.687047
32.995539,35.687176
32.995537,35.687191
32.995536,35.687207
32.995537,35.687223
32.99554,35.687238
32.995547,35.68726
32.995553,35.687274
32.995561,35.687287
32.995576,35.687304
32.995592,35.687317
32.995604,35.687324
32.995617,35.687329
32.995632,35.687332
32.995644,35.687333
32.995657,35.687332
32.995676,35.687327
32.995689,35.687321
32.995701,35.687314
32.995717,35.687299
32.99573,35.687282
32.995737,35.687268
32.995743,35.687254
32.995748,35.687239
32.99575,35.687224
32.995752,35.687208
32.995751,35.687197
32.996217,35.686671
32.996355,35.686542
32.996681,35.686212
32.996713,35.686174
32.99686,35.686033
32.997,35.686
32.99805,35.684946
32.998971,35.684082
32.999301,35.683773
32.9996,35.6836
33.000126,35.683048
33.000152,35.682955
33.000152,35.682936
33.000152,35.682858
33.00011,35.682732
32.999898,35.682448
32.999506,35.681889
32.999406,35.68176
32.999275,35.681596
32.999088,35.68141
32.998479,35.680999
32.9985,35.6809
32.998301,35.680895
32.997892,35.680674
32.997309,35.680339
32.99686,35.68
32.996347,35.679507
32.995952,35.67904
32.9958,35.679
32.995541,35.678542
32.995113,35.678053
32.995121,35.67804
32.995129,35.678022
32.995133,35.678003
32.995135,35.677983
32.995134,35.677963
32.99513,35.677944
32.995123,35.677926
32.995114,35.677909
32.995102,35.677896
32.995089,35.677885
32.995074,35.677878
32.995059,35.677874
32.995043,35.677874
32.995027,35.677877
32.995013,35.677885
32.995,35.677895
32.994987,35.677909
32.994978,35.677925
32.994973,35.677937
32.994969,35.677949
32.994966,35.677969
32.994965,35.677982
32.994966,35.677995
32.99497,35.678015
32.994976,35.678033
32.994982,35.678044
32.994987,35.678053
32.994992,35.678059
32.995001,35.678068
32.995014,35.678078
32.995024,35.678083
32.995034,35.678086
32.995052,35.678088
32.99506,35.678087
32.995071,35.678085
32.995086,35.678078
32.995099,35.678068
32.995108,35.67806
32.995113,35.678053
32.995541,35.678542
32.995952,35.67904
